LA_female,FA_female,publication_month,publication_year,i_covid,n_authors,journal_id,log_altmetric,log_cites,log_twitter_all,log_twitter_scientist,log_twitter_commun,log_twitter_public,log_twitter_pract,log_news,log_policy,log_wiki,log_blogs,gender_combination,gender_combo
1,0,3,2015,0,6,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,3.6800909,5.1119876,3.6888795,1.3862944,.69314718,3.1780539,2.0794415,1.3862944,0,0,0,mixed gender team,mixed gender team
0,1,3,2015,0,3,CIRCULATION,0,4.2766662,0,0,0,0,0,0,0,0,0,mixed gender team,mixed gender team
0,0,3,2015,0,42,CIRCULATION,3.9434443,5.220356,3.3672957,.69314718,1.0986123,3.1354942,1.0986123,1.0986123,1.0986123,0,1.0986123,men first and last,men first and last
0,0,3,2015,0,6,EUROPEAN HEART JOURNAL,4.5108595,5.3132062,1.0986123,0,0,1.0986123,0,3.0445225,0,0,0,men first and last,men first and last
0,0,3,2015,0,11,CIRCULATION,2.3125355,3.9889841,2.8332133,0,.69314718,2.3025851,1.6094379,0,0,0,0,men first and last,men first and last
0,0,3,2015,0,19,CIRCULATION,3.6635616,3.2580965,3.0445225,0,.69314718,2.8903718,0,1.3862944,0,0,0,men first and last,men first and last
0,,3,2015,0,13,CIRCULATION,1.658228,5.7525725,2.3978953,0,.69314718,1.7917595,.69314718,0,0,0,0,,
0,0,3,2015,0,19,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,3.7111301,6.3243589,3.2188759,1.3862944,.69314718,2.9444389,1.0986123,1.0986123,1.3862944,0,0,men first and last,men first and last
0,0,3,2015,0,12,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,2.2082744,5.1532917,2.8903718,1.3862944,.69314718,2.1972246,.69314718,0,0,0,0,men first and last,men first and last
0,0,3,2015,0,10,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,1.0473189,3.9889841,1.3862944,0,.69314718,.69314718,.69314718,0,0,0,0,men first and last,men first and last
0,0,3,2015,0,17,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,3.9917579,5.2257466,3.713572,1.6094379,.69314718,3.1780539,2.1972246,1.3862944,1.6094379,0,0,men first and last,men first and last
1,,3,2015,0,17,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,4.7158165,4.6151204,2.8903718,1.3862944,.69314718,2.3978953,.69314718,2.7080503,0,0,.69314718,,
1,0,3,2015,0,10,CIRCULATION RESEARCH,2.1690538,4.3174882,2.3025851,.69314718,.69314718,1.9459101,.69314718,0,0,0,0,mixed gender team,mixed gender team
1,0,3,2015,0,14,CIRCULATION,2.698,4.7449322,2.8903718,1.0986123,.69314718,2.5649493,1.0986123,0,0,0,0,mixed gender team,mixed gender team
0,0,3,2015,0,4,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,3.9727418,4.9052749,3.7841897,1.3862944,0,3.3322046,2.3978953,1.0986123,0,0,.69314718,men first and last,men first and last
0,0,3,2015,0,5,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,3.0610518,5.6347895,3.5553482,2.3025851,0,2.6390574,2.0794415,0,.69314718,0,0,men first and last,men first and last
1,0,2,2015,0,6,CIRCULATION,2.4230313,4.2904596,1.6094379,0,0,1.3862944,.69314718,0,0,0,.69314718,mixed gender team,mixed gender team
